DEPTH,GR,RES,PHIE,RHOB,Class,Unique_Class_Num
3004.75,20.302,12.118,0.3466,2.064,"1, 2, 4",3
3005,20.204,12.311,0.3449,2.067,"1, 2, 4",3
3005.25,19.645,12.677,0.3422,2.072,"1, 2, 4",3
3005.5,19.191,13.489,0.3377,2.08,"1, 2, 4",3
3005.75,19.191,15.172,0.3371,2.081,"1, 2, 4",3
3006,19.564,17.406,0.3386,2.078,"1, 2, 4",3
3006.25,20.131,21.047,0.3395,2.076,"1, 2, 4",3
3006.5,19.953,26.292,0.3426,2.071,"1, 2, 4",3
3006.75,19.491,34.635,0.3448,2.068,"1, 2, 4",3
3007,19.507,48.34,0.3472,2.064,"1, 2, 4",3
3007.25,19.84,71.457,0.3512,2.057,"1, 2, 4",3
3007.5,20.391,109.604,0.3533,2.053,"2, 4",8
3007.75,20.52,160.171,0.3562,2.048,"2, 4",8
3008,20.237,183.543,0.3594,2.043,"2, 4",8
3008.25,20.034,145.866,0.3602,2.042,"2, 4",8
3008.5,19.994,94.021,0.3626,2.038,"2, 4",8
3008.75,20.294,59,0.3618,2.039,"1, 2, 4",3
3009,20.602,38.741,0.3628,2.037,"1, 2, 4",3
3009.25,20.618,27.045,0.3616,2.039,"1, 2, 4",3
3009.5,20.334,20.052,0.3642,2.035,"1, 2, 4",3
3009.75,19.832,15.704,0.3652,2.034,"1, 2, 4",3
3010,19.378,12.78,0.3655,2.034,"1, 2, 4",3
3010.25,18.973,10.744,0.3627,2.039,"1, 2, 4",3
3010.5,18.835,9.373,0.361,2.042,"1, 2, 4",3
3010.75,19.013,8.612,0.3591,2.045,"1, 2, 4",3
