DEPTH,GR,RES,PHIE,RHOB,Class,Unique_Class_Num
2922.75,23.608,6.411,0.323,2.099,"1, 2, 4",3
2923,23.625,6.721,0.3199,2.104,"1, 2, 4",3
2923.25,23.6,6.98,0.3163,2.11,"1, 2, 4",3
2923.5,23.373,7.158,0.3152,2.112,"1, 2, 4",3
2923.75,23.122,7.242,0.3166,2.11,"1, 2, 4",3
2924,22.725,7.238,0.3139,2.115,"1, 2, 4",3
2924.25,22.093,7.166,0.318,2.109,"1, 2, 4",3
2924.5,22.109,7.051,0.3186,2.108,"1, 2, 4",3
2924.75,23,6.91,0.3173,2.109,"1, 2, 4",3
2925,23.981,6.751,0.316,2.11,"1, 2, 4",3
2925.25,24.451,6.566,0.3138,2.113,"1, 2, 4",3
2925.5,24.524,6.343,0.3138,2.113,"1, 2, 4",3
2925.75,24.702,6.075,0.3179,2.106,"1, 2, 4",3
2926,25.229,5.768,0.3169,2.107,"1, 2, 4",3
2926.25,25.878,5.444,0.3158,2.108,"1, 2, 4",3
2926.5,26.088,5.136,0.3162,2.107,"1, 2, 4",3
2926.75,25.724,4.87,0.3171,2.106,"2, 4",8
2927,24.97,4.65,0.3177,2.106,"2, 4",8
2927.25,24.095,4.509,0.3196,2.104,"2, 4",8
2927.5,23.519,4.428,0.32,2.104,"2, 4",8
2927.75,23.398,4.393,0.3189,2.106,"2, 4",8
2928,23.422,4.384,0.3207,2.103,"2, 4",8
2928.25,23.422,4.387,0.3225,2.1,"2, 4",8
2928.5,23.811,4.396,0.3222,2.1,"2, 4",8
2928.75,24.889,4.411,0.3147,2.111,"2, 4",8
2929,25.837,4.439,0.3097,2.118,"2, 4",8
2929.25,25.959,4.492,0.3072,2.122,"2, 4",8
2929.5,25.772,4.578,0.3092,2.119,"2, 4",8
2929.75,25.489,4.704,0.3088,2.12,"2, 4",8
2930,24.994,4.874,0.308,2.122,"2, 4",8
2930.25,24.565,5.086,0.3058,2.126,"1, 2, 4",3
2930.5,24.022,5.33,0.302,2.133,"1, 2, 4",3
2930.75,23.219,5.586,0.3038,2.131,"1, 2, 4",3
2931,22.32,5.846,0.299,2.14,"1, 2, 4",3
2931.25,21.866,6.096,0.2926,2.151,"1, 2, 4",3
2931.5,22.32,6.327,0.2893,2.156,"1, 2, 4",3
2931.75,22.611,6.535,0.2805,2.17,"1, 2, 4",3
2932,22.303,6.724,0.2814,2.169,"1, 2, 4",3
2932.25,22.068,6.901,0.2834,2.166,"1, 2, 4",3
2932.5,22.068,7.083,0.2852,2.163,"1, 2, 4",3
